id;slot_date;slot_time;taken;professional_id
1;2023-12-05;06:32:00;true;1
2;2023-12-05;14:36:00;true;2
3;2023-12-05;19:59:00;true;3
4;2023-12-05;01:30:00;false;4
5;2023-12-04;08:01:00;true;5
6;2023-12-05;21:50:00;false;6
7;2023-12-04;01:30:00;false;7
8;2023-12-05;02:13:00;true;8
9;2023-12-04;16:52:00;true;9
10;2023-12-04;00:09:00;false;10
11;2023-12-04;01:14:00;false;11
12;2023-12-05;05:08:00;true;12
13;2023-12-04;09:09:00;false;13
14;2023-12-05;02:11:00;true;14
15;2023-12-04;19:01:00;true;15
16;2023-12-04;01:22:00;true;16
17;2023-12-05;18:03:00;true;17
18;2023-12-05;23:11:00;false;18
19;2023-12-04;15:31:00;false;19
20;2023-12-04;18:04:00;false;20
21;2023-12-05;21:20:00;true;21
22;2023-12-04;00:51:00;false;22
23;2023-12-04;17:31:00;false;23
24;2023-12-05;09:39:00;false;24
25;2023-12-05;03:19:00;true;25
26;2023-12-04;00:04:00;false;26
27;2023-12-04;09:03:00;false;27
28;2023-12-05;19:59:00;true;28
29;2023-12-05;10:35:00;true;29
30;2023-12-05;12:00:00;true;30
